image_id,A,B,C,
ISIC_0001769,1,1,2,
ISIC_0001852,0,1,0,
ISIC_0001871,1,2,2,
ISIC_0003462,1,1,2,
ISIC_0003539,1,2,2,
ISIC_0003582,2,2,2,
ISIC_0003657,1,1,1,
ISIC_0003805,1,2,2,
ISIC_0004337,1,1,2,
ISIC_0006651,0,1,1,
ISIC_0006671,1,2,1,
ISIC_0006815,1,1,0,
ISIC_0006914,2,2,2,
ISIC_0007141,0,1,0,
ISIC_0007156,0,1,1,
ISIC_0007235,0,1,1,
ISIC_0007241,2,2,2,
ISIC_0007332,0,0,2,
ISIC_0007344,2,2,2,
ISIC_0007528,0,0,0,
ISIC_0007796,1,1,0,
ISIC_0008025,1,1,0,
ISIC_0008524,2,1,2,
ISIC_0009995,2,2,1,
ISIC_0010459,0,2,1,
ISIC_0012099,0,1,0,
ISIC_0012109,0,1,2,
ISIC_0012126,0,1,2,
ISIC_0012127,1,2,2,
ISIC_0012143,1,1,2,
ISIC_0012151,2,2,2,
ISIC_0012159,0,0,0,
ISIC_0012160,2,2,1,
ISIC_0012191,2,2,2,
ISIC_0012201,1,2,1,
ISIC_0012204,0,2,2,does not look like a lesion
ISIC_0012206,2,2,2,
ISIC_0012210,2,2,1,does not look like a lesion tho
ISIC_0012221,0,0,0,
ISIC_0012222,1,1,1,
ISIC_0012254,2,2,2,
ISIC_0012256,2,2,0,mostly bc of size 
ISIC_0012288,2,2,1,
ISIC_0012306,1,0,0,
ISIC_0012313,1,0,1,
ISIC_0012316,0,0,2,
ISIC_0012335,2,2,2,looks like someone bumped into a table wtf
ISIC_0012380,1,2,2,looks bad but idk if skin cancer
ISIC_0012383,1,1,2,looks bad but idk if skin cancer
ISIC_0012400,2,1,2,
