image_id,Link to,Chris,Germán,Hubert,Laurids,Pau,,All Agree,All say cancer,4 say cancer,3 say cancer,Melanoma,Guessed correctly
ISIC_0001769,ISIC_0001769,1,1,0,0,1,,#N/A,0,0,1,0,#N/A
ISIC_0001852,ISIC_0001852,0,1,1,0,1,,#N/A,0,0,1,0,#N/A
ISIC_0001871,ISIC_0001871,1,1,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0003462,ISIC_0003462,1,1,1,0,1,,#N/A,0,1,1,0,#N/A
ISIC_0003539,ISIC_0003539,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0003582,ISIC_0003582,1,1,1,0,1,,#N/A,0,1,1,0,#N/A
ISIC_0003657,ISIC_0003657,1,1,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0003805,ISIC_0003805,1,1,0,1,0,,#N/A,0,0,1,0,#N/A
ISIC_0004337,ISIC_0004337,1,1,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0006651,ISIC_0006651,0,1,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0006671,ISIC_0006671,1,0,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0006815,ISIC_0006815,0,0,0,0,0,,0,0,0,0,0,1
ISIC_0006914,ISIC_0006914,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0007141,ISIC_0007141,0,1,1,1,1,,#N/A,0,1,1,0,#N/A
ISIC_0007156,ISIC_0007156,0,1,0,1,1,,#N/A,0,0,1,0,#N/A
ISIC_0007235,ISIC_0007235,0,1,0,1,0,,#N/A,0,0,0,0,#N/A
ISIC_0007241,ISIC_0007241,1,1,1,0,1,,#N/A,0,1,1,0,#N/A
ISIC_0007332,ISIC_0007332,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0007344,ISIC_0007344,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0007528,ISIC_0007528,0,1,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0007796,ISIC_0007796,0,1,1,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0008025,ISIC_0008025,0,1,0,0,1,,#N/A,0,0,0,0,#N/A
ISIC_0008524,ISIC_0008524,1,1,1,0,1,,#N/A,0,1,1,0,#N/A
ISIC_0009995,ISIC_0009995,1,1,1,1,0,,#N/A,0,1,1,0,#N/A
ISIC_0010459,ISIC_0010459,1,0,1,1,0,,#N/A,0,0,1,0,#N/A
ISIC_0012099,ISIC_0012099,0,1,1,1,1,,#N/A,0,1,1,1,#N/A
ISIC_0012109,ISIC_0012109,1,1,1,0,0,,#N/A,0,0,1,0,#N/A
ISIC_0012126,ISIC_0012126,1,1,1,1,0,,#N/A,0,1,1,0,#N/A
ISIC_0012127,ISIC_0012127,1,0,1,1,1,,#N/A,0,1,1,0,#N/A
ISIC_0012143,ISIC_0012143,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0012151,ISIC_0012151,1,1,1,1,1,,1,1,1,1,1,1
ISIC_0012159,ISIC_0012159,0,0,0,0,0,,0,0,0,0,0,1
ISIC_0012160,ISIC_0012160,1,0,0,1,0,,#N/A,0,0,0,0,#N/A
ISIC_0012191,ISIC_0012191,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0012201,ISIC_0012201,1,1,0,0,1,,#N/A,0,0,1,0,#N/A
ISIC_0012204,ISIC_0012204,1,1,1,1,0,,#N/A,0,1,1,0,#N/A
ISIC_0012206,ISIC_0012206,1,1,1,1,1,,1,1,1,1,0,0
ISIC_0012210,ISIC_0012210,0,0,1,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0012221,ISIC_0012221,0,0,0,0,0,,0,0,0,0,0,1
ISIC_0012222,ISIC_0012222,0,0,1,0,1,,#N/A,0,0,0,0,#N/A
ISIC_0012254,ISIC_0012254,1,0,1,1,0,,#N/A,0,0,1,0,#N/A
ISIC_0012256,ISIC_0012256,1,0,0,0,0,,#N/A,0,0,0,0,#N/A
ISIC_0012288,ISIC_0012288,1,1,1,1,1,,1,1,1,1,1,1
ISIC_0012306,ISIC_0012306,0,0,0,0,0,,0,0,0,0,0,1
ISIC_0012313,ISIC_0012313,0,0,0,0,0,,0,0,0,0,0,1
ISIC_0012316,ISIC_0012316,1,0,1,1,0,,#N/A,0,0,1,0,#N/A
ISIC_0012335,ISIC_0012335,1,1,1,0,1,,#N/A,0,1,1,0,#N/A
ISIC_0012380,ISIC_0012380,1,1,1,1,0,,#N/A,0,1,1,0,#N/A
ISIC_0012383,ISIC_0012383,1,1,0,1,0,,#N/A,0,0,1,0,#N/A
ISIC_0012400,ISIC_0012400,1,1,1,1,1,,1,1,1,1,0,0
,,,,,,,,,,,,,
,total:,34,36,30,25,24,,,10,22,32,3,7
